name,sku,category,price,stock
Compact Printer Air Advanced Digital,SKU-0001,Books & Stationery,243.8,774
Tablet,SKU-0002,Shoes & Footwear,461.84,81
Smart Blender Cooker,SKU-0003,Kitchen Appliances,208.84,726
Advanced Router Rechargeable,SKU-0004,Kitchen Appliances,111.32,896
Portable Mouse Monitor Phone,SKU-0005,Kids' Clothing,0.92,925
Radio,SKU-0006,Skincare,391.92,549
Ultra Projector Oven Thermostat Prime Advanced,SKU-0007,Laptops & Computers,62.56,870
Webcam Stove Grill,SKU-0008,Automotive,146.28,584
Eco Radio,SKU-0009,Skincare,417.68,499
Ultra Powerbank Brush Charger Max,SKU-0010,Fitness Equipment,777.4,564
Wireless Dock,SKU-0011,Health & Wellness,236.44,168
Fast Camera Router Fan Smart,SKU-0012,Cleaning Supplies,203.32,672
Heater Radio,SKU-0013,Cycling,633.88,156
Smart Trimmer Webcam Heater,SKU-0014,Automotive,256.68,818
Webcam Dock Heater,SKU-0015,Cleaning Supplies,92.92,159
Automatic Watch Lite Sense,SKU-0016,Team Sports,290.72,329
Eco Iron Monitor Air,SKU-0017,Automotive,903.44,47
Digital Tablet Router Printer Lite,SKU-0018,Health & Wellness,2.76,732
Eco Freezer Powerbank Watch,SKU-0019,Cleaning Supplies,312.8,618
Cooler Fan,SKU-0020,Smartphones,486.68,844
Portable Camera Plus Air Ultra,SKU-0021,Women's Clothing,181.24,163
Wireless Powerbank 360 Advanced Ultra,SKU-0022,Bedding & Bath,622.84,418
Rechargeable Lamp Speakerphone Headphones,SKU-0023,Skincare,610.88,577
Mini Scooter Microphone,SKU-0024,Grooming Tools,721.28,510
Rechargeable Webcam Stove Grill,SKU-0025,Health & Wellness,828.0,623
Mini Iron Drone Wireless Pro,SKU-0026,Cycling,836.28,797
Portable Freezer Phone Automatic Smart,SKU-0027,Automotive,322.0,756
Wireless Webcam Stove Grill,SKU-0028,Clothing & Apparel,789.36,912
Clock Brush,SKU-0029,Furniture,906.2,180
Keyboard Toaster Monitor,SKU-0030,Kids' Clothing,529.92,988
Silent Printer Fan Shaver,SKU-0031,Sports & Outdoors,93.84,669
Wireless Scooter Clean Mini,SKU-0032,Fragrances,260.36,343
Advanced Microphone Cooler Eco,SKU-0033,Smartphones,831.68,532
Automatic Brush Fast Eco,SKU-0034,Kids' Clothing,374.44,285
Premium Bicycle Microphone,SKU-0035,Shoes & Footwear,441.6,364
Smart Phone Scooter Clean,SKU-0036,Women's Clothing,584.2,727
Bicycle,SKU-0037,Smartphones,215.28,394
Ultra Dock Trimmer Automatic Edge,SKU-0038,Kids' Clothing,588.8,780
Wireless Tablet Router Printer Wireless Premium Air,SKU-0039,Sports & Outdoors,718.52,947
Clean Printer Advanced Premium Sense,SKU-0040,Haircare,839.96,820
Silent Dock Fast,SKU-0041,Fishing & Hunting,92.0,802
Ultra Speakerphone Oven Go Smart X,SKU-0042,Office Supplies,919.08,853
Rechargeable Projector Pro,SKU-0043,Home Decor,860.2,55
Eco Vacuum,SKU-0044,Health & Wellness,238.28,668
Smart Grill Tablet Fridge Go Smart Smart,SKU-0045,Fitness Equipment,448.96,966
Digital Stove Silent Pro,SKU-0046,Health & Wellness,148.12,349
Portable Powerbank X Air,SKU-0047,Camping & Hiking,551.08,263
Clock,SKU-0048,Team Sports,672.52,664
Radio Treadmill,SKU-0049,Office Supplies,470.12,395
Ultra Cooler Treadmill Touch Pro Ultra,SKU-0050,Fragrances,196.88,574
